,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
1312,185792290,apache/netbeans-mavenutils-archetype-nbm-archetype,Groovy,1232,10,NonSQ,9,5005 days 07:37:54,0,NaT,NaT,0,0,4,106 days 06:47:40.250000,121 days 14:18:48,9,NaT,NaT,3,netbeans
1313,185792574,apache/netbeans-mavenutils-archetype-nbm-suite-root,Groovy,1232,10,NonSQ,5,5005 days 07:36:40,0,NaT,NaT,0,0,1,98 days 00:26:57,98 days 00:26:57,4,NaT,NaT,1,netbeans
1314,185792695,apache/netbeans-mavenutils-archetype-netbeans-platform-app-archetype,Java,1233,11,NonSQ,9,5005 days 07:35:22,0,NaT,NaT,0,0,1,97 days 23:54:09,97 days 23:54:09,2,NaT,NaT,1,netbeans
1315,185833148,apache/geronimo-batchee,Java,284,7,NonSQ,37,2564 days 04:07:41,0,NaT,NaT,1,0,4,81 days 21:22:56,75 days 20:58:53.500000,4,NaT,NaT,7,geronimo
1316,185983893,apache/netbeans-jenkins-lib,Groovy,163,5,NonSQ,234,599 days 12:44:11,9,4 days 02:26:28.222222222,0 days 00:00:20,0,10,15,0 days 06:36:16.733333333,0 days 00:00:28,0,-4 days +04:09:48.511111111,0 days 00:00:08,16,netbeans
1318,188185786,apache/servicecomb-fence,Java,26,2,NonSQ,12,356 days 00:42:37,1,0 days 18:00:22,0 days 18:00:22,5,3,17,0 days 11:14:01.176470588,0 days 20:56:29,7,-1 days +17:13:39.176470588,0 days 02:56:07,18,servicecomb
1320,189943818,apache/rocketmq-docker,Shell,57,8,NonSQ,34,357 days 01:35:00,1,319 days 19:44:13,319 days 19:44:13,7,0,8,24 days 12:23:17.750000,12 days 10:44:33,12,-296 days +16:39:04.750000,-308 days +15:00:20,11,rocketmq
1321,189944025,apache/rocketmq-operator,Go,117,8,NonSQ,66,555 days 20:10:21,36,58 days 02:45:04.083333333,8 days 16:58:19,14,42,65,178 days 00:34:49.738461538,27 days 02:20:07,44,119 days 21:49:45.655128205,18 days 09:21:48,41,rocketmq
1322,189944254,apache/rocketmq-exporter,Java,82,11,NonSQ,46,642 days 03:23:22,30,99 days 19:54:35.433333333,35 days 03:51:37.500000,18,21,14,77 days 10:33:40.571428571,61 days 18:34:49.500000,30,-23 days +14:39:05.138095238,26 days 14:43:12,15,rocketmq
1323,190105197,apache/apisix-docker,Dockerfile,57,18,NonSQ,162,574 days 09:56:17,31,23 days 23:40:36.096774193,3 days 23:48:31,6,48,76,34 days 09:31:44.131578947,1 days 11:36:13.500000,9,10 days 09:51:08.034804754,-3 days +11:47:42.500000,72,apisix
1324,191787065,apache/yunikorn-core,Go,352,15,NonSQ,244,646 days 02:09:09,43,18 days 06:42:48.348837209,7 days 01:01:11,4,52,76,21 days 10:09:29.894736842,2 days 13:18:49.500000,7,3 days 03:26:41.545899633,-5 days +12:17:38.500000,72,yunikorn
1325,191787181,apache/yunikorn-web,TypeScript,67,9,NonSQ,46,622 days 18:28:14,8,2 days 08:27:36.375000,0 days 23:17:20,0,8,18,11 days 12:33:39,1 days 13:58:54,1,9 days 04:06:02.625000,0 days 14:41:34,17,yunikorn
1326,191787408,apache/yunikorn-scheduler-interface,Makefile,56,8,NonSQ,47,642 days 20:40:24,8,16 days 14:40:38.750000,5 days 04:26:40,0,9,14,1 days 20:28:27.285714285,0 days 14:34:32,0,-15 days +05:47:48.535714285,-5 days +10:07:52,14,yunikorn
1327,191788094,apache/yunikorn-k8shim,Go,302,14,NonSQ,272,651 days 08:44:09,67,6 days 15:59:43.925373134,3 days 17:10:12,3,65,69,6 days 10:19:56.898550724,2 days 16:23:52,4,-1 days +18:20:12.973177590,-2 days +23:13:40,70,yunikorn
1328,191798136,apache/mynewt-artifact,Go,65,7,NonSQ,5,744 days 20:08:25,5,6 days 17:15:58.400000,4 days 03:19:48,1,6,0,NaT,NaT,0,NaT,NaT,0,mynewt
1330,191988685,apache/solr-operator,Go,93,11,NonSQ,188,580 days 03:01:10,40,62 days 08:49:20.650000,20 days 02:28:53.500000,32,43,52,34 days 15:07:51.961538461,6 days 22:46:16.500000,48,-28 days +06:18:31.311538461,-14 days +20:17:23,63,solr
1331,192406777,apache/trafficserver-site,HTML,46,5,NonSQ,40,534 days 19:28:01,1,0 days 15:08:07,0 days 15:08:07,0,1,0,NaT,NaT,0,NaT,NaT,0,trafficserver
1332,192721040,apache/sling-org-apache-sling-connection-timeout-agent,Java,78,4,NonSQ,4,461 days 05:20:31,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,1,sling
1335,193065376,apache/camel-quarkus,Java,2181,48,SQ,2098,671 days 04:17:58,573,19 days 13:51:35.602094240,0 days 21:48:28,107,662,399,22 days 19:28:02.210526315,0 days 17:42:49,262,3 days 05:36:26.608432075,-1 days +19:54:21,467,camel
1336,193151069,apache/airavata-mft,Java,180,10,NonSQ,138,422 days 12:17:39,2,11 days 07:41:24.500000,11 days 07:41:24.500000,5,9,15,338 days 11:51:37.933333332,32 days 01:42:57,17,327 days 04:10:13.433333332,20 days 18:01:32.500000,19,airavata
1337,193533462,apache/plc4x-build-tools,Java,106,8,NonSQ,179,555 days 01:14:34,1,163 days 09:25:32,163 days 09:25:32,1,0,24,38 days 19:15:14.125000,3 days 06:24:08.500000,5,-125 days +09:49:42.125000,-161 days +20:58:36.500000,19,plc4x
1339,194645908,apache/apisix-dashboard,Go,442,33,NonSQ,655,548 days 16:18:42,808,16 days 03:31:05.856435643,1 days 21:42:08.500000,42,870,156,25 days 03:26:09.641025641,2 days 23:15:27,157,8 days 23:55:03.784589998,1 days 01:33:18.500000,206,apisix
1341,195792128,apache/causeway-app-simpleapp,Java,120,4,NonSQ,267,343 days 22:39:59,1,0 days 13:20:42,0 days 13:20:42,0,1,1,0 days 01:48:07,0 days 01:48:07,1,-1 days +12:27:25,-1 days +12:27:25,1,causeway
1342,195792289,apache/causeway-antora,CSS,497,21,NonSQ,8,1096 days 10:45:39,4,162 days 13:50:06,162 days 16:06:04,2,2,0,NaT,NaT,3,NaT,NaT,7,causeway
1343,196269190,apache/singa-site,HTML,51,4,NonSQ,44,488 days 15:58:39,7,0 days 00:00:41.857142857,0 days 00:00:12,0,7,1,0 days 01:47:57,0 days 01:47:57,0,0 days 01:47:15.142857143,0 days 01:47:45,1,singa
1344,196358567,apache/cloudstack-kubernetes-provider,Go,69,4,NonSQ,15,697 days 09:06:09,8,242 days 00:41:41.250000,289 days 16:38:32,15,8,0,NaT,NaT,9,NaT,NaT,2,cloudstack
1345,196555066,apache/flink-playgrounds,Java,25,10,NonSQ,16,521 days 10:27:40,7,41 days 12:44:04.714285714,27 days 17:57:47,3,5,5,7 days 12:10:33,4 days 02:37:08,2,-35 days +23:26:28.285714286,-24 days +08:39:21,6,flink
1346,197979624,apache/fineract-cn-docker-compose,Shell,62,6,NonSQ,10,106 days 19:15:10,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,1,fineract
1347,198023969,apache/pulsar-translation,,45,9,NonSQ,10,398 days 23:32:34,9,91 days 04:04:28.888888889,71 days 05:01:35,6,5,1,3 days 15:08:09,3 days 15:08:09,2,-88 days +11:03:40.111111111,-68 days +10:06:34,1,pulsar
1348,198368711,apache/linkis,Java,820,28,NonSQ,2659,527 days 05:24:48,47,39 days 06:33:38.851063830,1 days 06:06:44,86,81,1708,30 days 08:32:54.566159250,4 days 04:21:01,321,-9 days +01:59:15.715095420,2 days 22:14:17,1643,linkis
1350,200898269,apache/security-vulnogram,JavaScript,85,3,NonSQ,338,1105 days 01:12:11,0,NaT,NaT,0,0,21,192 days 01:48:29.095238096,63 days 00:49:22,10,NaT,NaT,23,security
1351,202601328,apache/mxnet-ci,Python,64,9,NonSQ,13,423 days 23:44:28,9,116 days 07:59:56.777777778,40 days 21:44:55,4,8,0,NaT,NaT,9,NaT,NaT,5,mxnet
1352,202700338,apache/sling-feature-converter-maven-plugin,Java,41,7,NonSQ,13,483 days 05:57:52,4,0 days 10:22:07.250000,0 days 10:22:52,0,4,0,NaT,NaT,1,NaT,NaT,0,sling
1353,204657216,apache/cassandra-diff,Java,13,6,NonSQ,4,391 days 22:41:29,5,26 days 03:40:48.400000,7 days 06:12:25,1,5,5,239 days 00:28:56.200000,89 days 01:37:32,4,212 days 20:48:07.800000,81 days 19:25:07,6,cassandra
1354,205305416,apache/shardingsphere-benchmark,Java,692,9,NonSQ,170,471 days 05:20:26,12,0 days 04:36:27.833333333,0 days 00:25:40,1,12,2,25 days 04:03:24,25 days 04:03:24,4,24 days 23:26:56.166666667,25 days 03:37:44,3,shardingsphere
1355,205310916,apache/brpc-website,CSS,46,4,NonSQ,145,366 days 17:25:50,2,0 days 00:00:13.500000,0 days 00:00:13.500000,0,2,36,0 days 15:44:45.277777777,0 days 00:00:42,0,0 days 15:44:31.777777777,0 days 00:00:28.500000,45,brpc
1356,205920476,apache/puppet-backuppc,Puppet,144,14,NonSQ,9,3097 days 04:06:23,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,puppet
1357,206284188,apache/dubbo-awesome,,11,5,NonSQ,99,292 days 02:12:34,0,NaT,NaT,0,0,32,10 days 08:38:32.406250,0 days 02:35:25.500000,59,NaT,NaT,32,dubbo
1358,206380457,apache/dolphinscheduler-website,JavaScript,715,50,NonSQ,667,482 days 15:09:45,102,5 days 10:47:03.490196078,0 days 06:55:11.500000,3,99,73,15 days 22:26:28.287671233,0 days 01:14:10,8,10 days 11:39:24.797475155,-1 days +18:18:58.500000,68,dolphinscheduler
1360,207388808,apache/juneau-petstore,Java,56,3,NonSQ,5,406 days 14:56:32,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,juneau
1361,209459144,apache/submarine,Java,507,40,NonSQ,489,560 days 10:02:34,145,11 days 23:18:46.441379310,3 days 22:31:44,14,149,55,60 days 09:20:32.218181818,13 days 07:26:05,33,48 days 10:01:45.776802508,9 days 08:54:21,59,submarine
1362,210029529,apache/maven-mvnd,Java,486,8,NonSQ,530,466 days 09:34:42,232,7 days 07:38:48.232758620,0 days 05:47:00,10,254,82,24 days 09:45:42.719512195,4 days 05:24:08,55,17 days 02:06:54.486753575,3 days 23:37:08,100,maven
1363,210419610,apache/hadoop-thirdparty,Shell,12,4,NonSQ,20,367 days 08:28:23,1,5 days 19:55:50,5 days 19:55:50,0,1,1,51 days 14:48:21,51 days 14:48:21,2,45 days 18:52:31,45 days 18:52:31,1,hadoop
1364,210579021,apache/hop,Java,1354,18,NonSQ,3811,464 days 01:45:06,301,1 days 13:00:05.707641196,0 days 03:35:20,8,305,414,19 days 19:34:38.234299517,0 days 10:33:32,9,18 days 06:34:32.526658321,0 days 06:58:12,558,hop
1365,210803387,apache/echarts-bot,JavaScript,48,4,NonSQ,108,764 days 03:02:30,3,39 days 20:10:36,54 days 23:41:43,0,3,7,2 days 10:39:14,0 days 03:25:10,1,-38 days +14:28:38,-55 days +03:43:27,7,echarts
1368,212382406,apache/ozone,Java,3181,97,NonSQ,2125,1022 days 06:53:25,1182,29 days 05:31:16.040609137,7 days 21:12:32,918,1317,1151,102 days 20:23:48.920069505,8 days 07:37:56,1564,73 days 14:52:32.879460368,0 days 10:25:24,1304,ozone
1369,212425387,apache/openoffice-org,HTML,679,5,NonSQ,919,69 days 06:20:24,1,0 days 00:53:46,0 days 00:53:46,0,1,2,1 days 12:53:15.500000,1 days 12:53:15.500000,0,1 days 11:59:29.500000,1 days 11:59:29.500000,2,openoffice
1370,212425517,apache/openoffice-project,HTML,33,5,NonSQ,58,42 days 23:14:11,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,openoffice
1371,212459447,apache/cassandra-website,CSS,496,11,NonSQ,160,3944 days 12:02:44,21,1 days 02:02:38.714285714,0 days 11:44:51,1,22,47,9 days 01:40:02.085106383,1 days 13:31:48,11,7 days 23:37:23.370820669,1 days 01:46:57,53,cassandra
1372,213724362,apache/tvm-site,JavaScript,185,25,NonSQ,21,1358 days 00:26:57,12,0 days 20:16:59.416666666,0 days 00:49:40.500000,0,12,3,0 days 00:33:26,0 days 00:03:46,1,-1 days +04:16:26.583333334,-1 days +23:14:05.500000,3,tvm
1373,214996328,apache/couchdb-helm,Shell,49,8,NonSQ,49,404 days 00:34:29,5,84 days 14:27:52,87 days 11:47:57,10,13,10,82 days 21:23:37.300000,113 days 01:48:32.500000,35,-2 days +06:55:45.300000,25 days 14:00:35.500000,15,couchdb
1374,215211708,apache/cloudstack-primate,Vue,865,17,NonSQ,16,591 days 17:26:11,421,5 days 19:09:35.788598574,1 days 21:58:41,31,430,0,NaT,NaT,31,NaT,NaT,0,cloudstack
1375,215638242,apache/lucene-site,CSS,1623,64,NonSQ,234,3654 days 04:53:27,15,4 days 19:39:41.400000,0 days 00:26:53,0,15,5,0 days 06:53:56.400000,0 days 01:01:35,1,-5 days +11:14:15,0 days 00:34:42,6,lucene
1376,215737963,apache/archiva-components,Java,55,2,NonSQ,56,268 days 23:20:50,0,NaT,NaT,0,0,21,19 days 05:27:10.380952381,5 days 00:03:01,5,NaT,NaT,21,archiva
1377,216627287,apache/cordova-eslint,JavaScript,23,3,NonSQ,18,210 days 04:09:01,0,NaT,NaT,1,0,1,151 days 11:16:42,151 days 11:16:42,1,NaT,NaT,0,cordova
1378,216732660,apache/ofbiz-site,HTML,325,13,NonSQ,118,1368 days 21:49:06,2,84 days 01:01:11,84 days 01:01:11,1,1,0,NaT,NaT,0,NaT,NaT,0,ofbiz
1379,216819881,apache/ofbiz-tools,HTML,181,7,NonSQ,51,1306 days 20:05:02,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,0,ofbiz
1380,218010612,apache/parquet-site,HTML,24,4,NonSQ,29,1938 days 11:31:34,0,NaT,NaT,0,0,2,5 days 06:41:52.500000,5 days 06:41:52.500000,0,NaT,NaT,5,parquet
1381,218231930,apache/geronimo-arthur,Java,50,2,NonSQ,62,429 days 09:33:50,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,2,geronimo
1382,218317552,apache/submarine-site,HTML,30,5,NonSQ,258,420 days 19:58:28,2,2 days 19:38:44.500000,2 days 19:38:44.500000,0,2,0,NaT,NaT,0,NaT,NaT,0,submarine
1383,218593083,apache/ws-neethi,Java,396,7,NonSQ,13,5487 days 02:07:31,1,16 days 08:26:42,16 days 08:26:42,0,1,0,NaT,NaT,0,NaT,NaT,0,ws
1384,218784422,apache/ws-wss4j,Java,2689,11,NonSQ,145,6157 days 11:35:12,7,14 days 22:13:30.142857142,0 days 18:53:17,11,7,14,43 days 03:04:40.500000,44 days 14:19:10,16,28 days 04:51:10.357142858,43 days 19:25:53,17,ws
1385,218784651,apache/ws-axiom,Java,4570,8,NonSQ,424,5447 days 16:20:15,66,0 days 04:26:10.227272727,0 days 00:37:44,15,68,63,2 days 22:24:48.761904761,1 days 20:19:02,18,2 days 17:58:38.534632034,1 days 19:41:18,65,ws
1386,218784720,apache/ws-xmlschema,Java,157,6,NonSQ,17,3419 days 19:37:48,0,NaT,NaT,0,0,1,1 days 14:03:04,1 days 14:03:04,0,NaT,NaT,1,ws
1387,218852626,apache/ignite-extensions,Java,54,12,NonSQ,147,417 days 07:12:35,15,21 days 23:41:37.266666666,8 days 00:01:02,2,15,40,20 days 02:38:45.250000,6 days 01:31:22.500000,21,-2 days +02:57:07.983333334,-2 days +01:30:20.500000,41,ignite
1388,218930575,apache/skywalking-cli,Go,102,10,NonSQ,87,409 days 09:24:48,43,2 days 00:30:23.325581395,0 days 04:44:26,0,44,14,0 days 03:18:53.642857142,0 days 00:50:00.500000,0,-2 days +02:48:30.317275747,-1 days +20:05:34.500000,14,skywalking
1391,221421090,apache/streampipes-website,EJS,110,8,NonSQ,119,371 days 16:45:54,0,NaT,NaT,0,0,22,17 days 17:36:41.681818181,1 days 13:30:48.500000,2,NaT,NaT,21,streampipes
1392,221468226,apache/apisix-ingress-controller,Go,120,11,NonSQ,606,389 days 04:48:39,107,30 days 06:00:05.710280374,0 days 23:19:43,14,133,463,56 days 14:49:44.874730022,5 days 04:35:06,135,26 days 08:49:39.164449648,4 days 05:15:23,447,apisix
1393,222745263,apache/couchdb-passage,Erlang,84,3,NonSQ,2,430 days 23:04:41,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
1394,222745438,apache/couchdb-jaeger-passage,Erlang,71,3,NonSQ,4,833 days 15:00:17,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
1396,225625782,apache/flink-statefun,Java,635,27,NonSQ,183,444 days 13:01:37,65,5 days 15:14:50.661538461,0 days 23:35:09,3,64,4,41 days 22:04:00.250000,33 days 17:24:31,7,36 days 06:49:09.588461539,32 days 17:49:22,8,flink
1397,225818900,apache/camel-kafka-connector,Java,1284,25,NonSQ,809,741 days 06:37:14,495,5 days 00:47:03.214141414,0 days 01:17:06,39,510,101,24 days 04:57:22.405940594,2 days 00:15:26,82,19 days 04:10:19.191799180,1 days 22:58:20,108,camel
1399,226175423,apache/sling-org-apache-sling-commons-crypto,Java,22,4,NonSQ,104,265 days 00:18:57,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
1401,226286903,apache/skywalking-client-js,TypeScript,146,7,NonSQ,62,390 days 22:52:46,25,9 days 12:34:06.920000,0 days 00:48:04,1,24,15,3 days 04:36:06.466666666,0 days 01:42:53,0,-7 days +16:01:59.546666666,0 days 00:54:49,15,skywalking
1402,227198066,apache/couchdb-infra-cm,Python,18,2,NonSQ,23,493 days 02:42:55,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
1403,228103139,apache/nuttx-apps,C,5131,93,NonSQ,1271,3584 days 02:06:32,224,3 days 20:58:30.723214285,0 days 08:09:15,9,226,265,2 days 13:40:19.630188679,0 days 08:30:37,30,-2 days +16:41:48.906974394,0 days 00:21:22,271,nuttx
1404,228103273,apache/nuttx,C,39988,259,NonSQ,7842,5065 days 21:01:25,1217,3 days 06:11:07.478225143,0 days 08:11:52,57,1286,1432,9 days 00:16:27.950418994,0 days 07:19:06,297,5 days 18:05:20.472193851,-1 days +23:07:14,1464,nuttx
1405,228330020,apache/camel-spring-boot,Java,41676,549,NonSQ,1201,5036 days 00:45:59,153,0 days 14:07:30.326797385,0 days 03:28:29,0,153,101,0 days 22:24:57.346534653,0 days 04:58:21,2,0 days 08:17:27.019737268,0 days 01:29:52,103,camel
1406,228540019,apache/singa-doc,JavaScript,234,12,NonSQ,33,383 days 20:45:10,17,4 days 22:54:09.764705882,0 days 04:15:05,1,16,0,NaT,NaT,3,NaT,NaT,4,singa
1407,230303510,apache/nuttx-website,SCSS,89,14,NonSQ,31,1879 days 12:32:57,21,8 days 15:01:57.095238095,0 days 00:58:50,1,21,16,9 days 19:32:59.125000,0 days 01:20:18.500000,2,1 days 04:31:02.029761905,0 days 00:21:28.500000,15,nuttx
1408,231533573,apache/inlong,Java,386,48,NonSQ,2623,471 days 05:53:17,389,8 days 19:24:04.573264781,0 days 10:07:07,61,418,2253,9 days 09:07:05.030181979,0 days 20:37:51,211,0 days 13:43:00.456917198,0 days 10:30:44,2266,inlong
1409,232572161,apache/inlong-website,JavaScript,124,18,NonSQ,424,342 days 11:30:03,21,1 days 20:34:07.285714285,0 days 00:10:27,1,20,186,4 days 05:02:32.295698924,0 days 16:47:13.500000,3,2 days 08:28:25.009984639,0 days 16:36:46.500000,188,inlong
1410,232669361,apache/tika-docker,Shell,36,3,NonSQ,75,332 days 20:26:13,1,90 days 04:26:07,90 days 04:26:07,0,2,9,4 days 09:48:14.444444444,0 days 06:23:07,1,-86 days +05:22:07.444444444,-90 days +01:57:00,10,tika
1411,232810231,apache/nuttx-testing,,91,16,NonSQ,20,351 days 17:58:10,32,1 days 11:37:23.625000,0 days 07:11:13,2,33,0,NaT,NaT,3,NaT,NaT,0,nuttx
1412,233018446,apache/xerces-c,C++,6423,4,NonSQ,47,7524 days 19:24:19,1,0 days 00:09:50,0 days 00:09:50,153,2,23,398 days 09:34:03.956521740,380 days 08:58:57,180,398 days 09:24:13.956521740,380 days 08:49:07,6,xerces
1413,233048597,apache/rocketmq-connect,Java,168,26,NonSQ,279,556 days 21:27:06,0,NaT,NaT,0,0,163,20 days 22:10:25.049079754,8 days 04:15:53,36,NaT,NaT,224,rocketmq
1414,233592029,apache/tomcat-jakartaee-migration,Java,109,7,NonSQ,150,351 days 21:32:08,3,0 days 09:25:29,0 days 00:26:25,1,4,16,34 days 03:52:37.375000,15 days 20:19:57,2,33 days 18:27:08.375000,15 days 19:53:32,16,tomcat
1416,234250873,apache/dubbo-go-pixiu,Go,568,10,NonSQ,1270,350 days 00:08:50,82,13 days 03:27:48.195121951,3 days 05:06:36.500000,0,100,73,21 days 23:07:41.958904109,3 days 12:38:18,38,8 days 19:39:53.763782158,0 days 07:31:41.500000,83,dubbo
1417,235750110,apache/maven-doxia-book-renderer,Java,43,6,NonSQ,2,3071 days 14:11:26,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,maven
1418,237409088,apache/flink-docker,Shell,248,23,NonSQ,44,1384 days 16:05:55,30,11 days 08:52:49.133333333,0 days 05:43:59.500000,4,28,30,12 days 17:08:24.033333333,0 days 06:28:07.500000,3,1 days 08:15:34.900000,0 days 00:44:08,28,flink
1419,238178658,apache/netbeans-l10n,HTML,19,5,NonSQ,2,319 days 22:51:34,2,3 days 19:07:52.500000,3 days 19:07:52.500000,0,2,0,NaT,NaT,1,NaT,NaT,0,netbeans
1420,238287706,apache/geode-kafka-connector,Java,83,7,NonSQ,3,394 days 23:24:44,3,0 days 05:49:03.333333333,0 days 08:04:54,0,13,0,NaT,NaT,9,NaT,NaT,3,geode
1421,238290996,apache/pulsar-test-infra,TypeScript,11,5,NonSQ,37,289 days 08:44:17,5,2 days 00:49:00.400000,1 days 15:32:56,2,7,46,69 days 13:48:10.760869565,40 days 06:34:14,21,67 days 12:59:10.360869565,38 days 15:01:18,36,pulsar
1422,238404616,apache/camel-examples,,2325,90,NonSQ,334,4961 days 21:34:20,22,0 days 02:10:36.409090909,0 days 00:01:13,0,23,21,1 days 21:31:50.571428571,0 days 03:11:02,2,1 days 19:21:14.162337662,0 days 03:09:49,19,camel
1423,239104271,apache/maven-wrapper-plugin,Java,19,3,NonSQ,14,201 days 20:28:00,0,NaT,NaT,0,0,0,NaT,NaT,2,NaT,NaT,0,maven
1424,240235826,apache/sling-kickstart-maven-plugin,Java,18,3,NonSQ,4,219 days 04:43:24,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0,sling
1425,241621162,apache/skywalking-swck,Go,38,4,NonSQ,60,301 days 10:09:41,16,0 days 12:53:26.437500,0 days 02:19:35,0,16,12,21 days 19:51:05.833333333,1 days 00:07:58.500000,2,21 days 06:57:39.395833333,0 days 21:48:23.500000,10,skywalking
1426,241621679,apache/skywalking-nginx-lua,Lua,82,14,NonSQ,41,260 days 21:37:51,11,1 days 09:15:09.363636363,0 days 00:42:29,0,12,2,0 days 04:53:11,0 days 04:53:11,0,-2 days +19:38:01.636363637,0 days 04:10:42,2,skywalking
1427,242685067,apache/mina-site,HTML,16,4,NonSQ,60,310 days 18:40:07,0,NaT,NaT,0,1,0,NaT,NaT,0,NaT,NaT,0,mina
1428,242772303,apache/cassandra-in-jvm-dtest-api,Java,57,9,NonSQ,28,283 days 01:53:15,16,20 days 09:59:10.750000,5 days 02:50:47,1,15,0,NaT,NaT,2,NaT,NaT,0,cassandra
1429,242810979,apache/openwhisk-wskdebug,JavaScript,84,4,NonSQ,24,302 days 00:01:37,18,21 days 02:15:55.111111111,0 days 13:55:48.500000,12,17,1,0 days 00:12:59,0 days 00:12:59,13,-22 days +21:57:03.888888889,-1 days +10:17:10.500000,4,openwhisk
1430,242853414,apache/felix-atomos,Java,283,6,NonSQ,73,806 days 06:00:48,16,0 days 07:43:03.500000,0 days 00:56:03.500000,1,16,3,2 days 06:06:48.666666666,0 days 22:43:02,4,1 days 22:23:45.166666666,0 days 21:46:58.500000,10,felix
1431,242854622,apache/felix-dev,Java,15958,47,NonSQ,695,5634 days 11:52:15,30,9 days 12:00:01.366666666,0 days 15:49:32.500000,6,38,34,87 days 22:28:10.147058824,22 days 16:56:10,21,78 days 10:28:08.780392158,22 days 01:06:37.500000,30,felix
1432,243426196,apache/duo_unix,C,532,40,NonSQ,29,3571 days 20:36:42,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,duo_unix
1433,243660063,apache/skywalking-agent-test-tool,Java,27,9,NonSQ,22,293 days 06:24:03,10,2 days 18:28:28.100000,0 days 01:02:50.500000,0,10,13,0 days 00:57:30.846153846,0 days 00:36:27,0,-3 days +06:29:02.746153846,-1 days +23:33:36.500000,13,skywalking
1434,243689974,apache/skywalking-rust,Rust,13,2,NonSQ,45,4 days 23:16:05,0,NaT,NaT,0,0,27,0 days 16:23:28,0 days 03:54:11,0,NaT,NaT,28,skywalking
1435,244123773,apache/jena-site,HTML,1500,20,NonSQ,203,3617 days 10:46:32,18,9 days 03:56:59.500000,2 days 18:15:05.500000,1,17,20,12 days 05:43:33.400000,0 days 07:22:59.500000,1,3 days 01:46:33.900000,-3 days +13:07:54,30,jena
1437,246405407,apache/ignite-website,,2082,22,NonSQ,300,2258 days 12:57:19,44,1 days 06:06:28.295454545,0 days 01:26:19.500000,0,44,22,0 days 03:51:03.045454545,0 days 00:56:52,5,-2 days +21:44:34.750000,-1 days +23:30:32.500000,26,ignite
1438,247250286,apache/camel-karaf,Java,474,21,NonSQ,707,273 days 17:01:23,46,0 days 06:21:02.413043478,0 days 00:24:25,0,46,62,6 days 03:05:10.903225806,0 days 04:53:48.500000,2,5 days 20:44:08.490182328,0 days 04:29:23.500000,63,camel
1439,247740615,apache/infrastructure-jenkins,Java,65,6,NonSQ,14,1246 days 13:54:19,5,0 days 02:07:03.200000,0 days 01:12:55,0,5,34,35 days 07:47:03.294117647,19 days 13:25:04,10,35 days 05:40:00.094117647,19 days 12:12:09,33,infrastructure
1440,248644777,apache/axis-axis2-java-core,Java,13624,18,NonSQ,494,5963 days 21:04:21,91,0 days 16:28:19.516483516,0 days 01:21:05,0,93,81,8 days 21:23:47.790123456,1 days 19:50:02,3,8 days 04:55:28.273639940,1 days 18:28:57,83,axis
1441,248644876,apache/axis-axis2-java-rampart,Java,1042,5,NonSQ,4,4898 days 09:56:37,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,2,axis
1446,248664768,apache/yunikorn-site,JavaScript,88,10,NonSQ,217,269 days 00:53:33,24,5 days 15:36:30.958333333,0 days 10:37:17.500000,0,25,84,4 days 10:01:45.773809523,2 days 02:07:17,0,-2 days +18:25:14.815476190,1 days 15:29:59.500000,85,yunikorn
1447,251194471,apache/tvm-vta,Scala,213,31,NonSQ,15,1015 days 02:17:12,12,17 days 18:21:42,2 days 21:06:33,2,12,1,721 days 14:44:34,721 days 14:44:34,2,703 days 20:22:52,718 days 17:38:01,1,tvm
1448,251242078,apache/flink-statefun-docker,Shell,19,4,NonSQ,15,266 days 21:05:38,7,33 days 03:17:45.428571428,6 days 23:51:17,0,8,0,NaT,NaT,0,NaT,NaT,0,flink
1449,252164142,apache/couchdb-erlfdb,Erlang,98,6,NonSQ,44,685 days 08:43:52,3,0 days 00:47:30,0 days 00:41:00,0,3,0,NaT,NaT,5,NaT,NaT,0,couchdb
